assignment_id,hit_id,worker_id,start_time,condition,phase,item_order,item_name,response,response_order,originality
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,1,Pants,Inflatable buoyancy aid,0,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,1,Pants,Hanging plant holder,1,3.5
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,1,Pants,A flag,2,2.5
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,1,Pants,Pipe insulation,3,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,1,Pants,A holder for pool noodles,4,3.5
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,2,Table,A base for holding plant pots,0,2.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,2,Table,The basis for a childrens fort,1,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,2,Table,"Turn it over and attach a sheet to it, and make a hammock for soft toys",2,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,3,Shoe,A pot for a garden plant,0,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,3,Shoe,Somewhere to store socks,1,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,3,Shoe,A holder for your artificial leg,2,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,3,Shoe,A holder for lego,3,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,3,Shoe,A dog throw toy,4,2.8
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,3,Shoe,A makeshift bath toy,5,3.2
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Practice,3,Shoe,A stopper to hold open a door,6,2.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Test,4,Tire,Place a circular board on top and use it as a coffee table,0,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Test,4,Tire,Use it to have fun with rolling it around the garden,1,2.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Test,4,Tire,Cut open the tyre and fold it back to make a planter for a plant,2,3.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Test,4,Tire,A temporary seat when leaning against a wall,3,2.0
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,2024-08-20T23:11:03.694Z,Generate,Test,4,Tire,"Attach it to a length of rope hung from a tree, and use it as a swing",4,3.0
66c520aade6896a644389d35,66c51ff206a3b2ebed449186,66293a1955a99ad01eb673d3,2024-08-20T23:04:47.962Z,Absent,Practice,1,Bottle,bottle,1,1.0
66c520aade6896a644389d35,66c51ff206a3b2ebed449186,66293a1955a99ad01eb673d3,2024-08-20T23:04:47.962Z,Absent,Practice,1,Bottle,lighter,2,2.3
66c520aade6896a644389d35,66c51ff206a3b2ebed449186,66293a1955a99ad01eb673d3,2024-08-20T23:04:47.962Z,Absent,Practice,1,Bottle,eating,3,3.0
66c520aade6896a644389d35,66c51ff206a3b2ebed449186,66293a1955a99ad01eb673d3,2024-08-20T23:04:47.962Z,Absent,Practice,1,Bottle,fire,4,2.8
66c520aade6896a644389d35,66c51ff206a3b2ebed449186,66293a1955a99ad01eb673d3,2024-08-20T23:04:47.962Z,Absent,Practice,1,Bottle,sound,5,2.0
66c520aade6896a644389d35,66c51ff206a3b2ebed449186,66293a1955a99ad01eb673d3,2024-08-20T23:04:47.962Z,Absent,Practice,1,Bottle,instrument,6,2.3
