assignment_id,hit_id,worker_id,start_time,condition,phase,item_order,item_name,response,response_order
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,1,Bottle,mobile w hanging bottle,0
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,1,Bottle,musical instrument with water filled to various levels,1
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,1,Bottle,game set up to pitch objects like in an arcade,2
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,1,Bottle,use for drinks that are prepared for a party,3
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,1,Bottle,use for paints ,4
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,2,Lightbulb,Use lightbulbs to create a glowing mural by painting them and rearranging them,0
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,2,Lightbulb,Taking lightbulbs and wiring them to a board and transmitting coded signals for exhibition,1
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,2,Lightbulb,lighting a mural outdoors make of lightbulbs and changing the images of the lights by on/off switch,2
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,3,Tire,Tires are needed for recycling,0
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,3,Tire,reusing old tires is a gamechanger for those who can invent the correct usages and this makes a good contest - let people create the contest with their entries,1
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Practice,3,Tire,Environmental preservation should be illustrated through recycled tires creating an artistic image depicting our efforts,2
308XBLVES2U4BUNT9KRHOBB8PBSBRV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A3CCFD0700KTPV,2024-03-13T19:49:07.078Z,absent,Test,4,Ball,using exercise balls in a classroom and as an optional seating area,0
3G0WWMR1UFA602XQZV7QAG1XAE4NQV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A14O5IIY74ZV0P,2024-03-13T19:56:32.680Z,generate,Practice,1,Toothbrush,Use it as a paintbrush for creating intricate toothpaste designs on the bathroom mirror,0
3G0WWMR1UFA602XQZV7QAG1XAE4NQV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A14O5IIY74ZV0P,2024-03-13T19:56:32.680Z,generate,Practice,2,Ball,Creative ink stamp by dipping it in paint and rolling onto paper,0
3G0WWMR1UFA602XQZV7QAG1XAE4NQV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A14O5IIY74ZV0P,2024-03-13T19:56:32.680Z,generate,Practice,3,Bottle,A planter for growing herbs or small plants,0
3G0WWMR1UFA602XQZV7QAG1XAE4NQV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A14O5IIY74ZV0P,2024-03-13T19:56:32.680Z,generate,Practice,3,Bottle,A piggy bank collecting spare change,1
3G0WWMR1UFA602XQZV7QAG1XAE4NQV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A14O5IIY74ZV0P,2024-03-13T19:56:32.680Z,generate,Test,4,Tire,Use as a giant hula hoop in a workout class,0
3G0WWMR1UFA602XQZV7QAG1XAE4NQV,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A14O5IIY74ZV0P,2024-03-13T19:56:32.680Z,generate,Test,4,Tire,Use as a unique seat for a tree swing,1
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,1,Fork,This is use to eat food.,0
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,1,Fork,People are rich only use,1
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,2,Pants,This use to mens.,0
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,2,Pants,This is wear metirials,1
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,2,Pants,Look very hansome.,2
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,3,Shoe,This is shoes.,0
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,3,Shoe,This use ful to runing and walking.,1
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Practice,3,Shoe,Its very help to sports.,2
3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A2YW7RDY1OLC66,2024-03-13T20:28:25.949Z,coach,Test,4,Tire,This is tire.,0
3634BBTX08KHVCWQOZJ4T912HD1IFG,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A35BJZCQC3ETPX,2024-03-13T20:40:44.434Z,coach,Practice,1,Table,Use it as a unique and spacious canvas for a painting or art piece,0
3634BBTX08KHVCWQOZJ4T912HD1IFG,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A35BJZCQC3ETPX,2024-03-13T20:40:44.434Z,coach,Practice,2,Backpack,Mobile pet carrier for small animals,0
3634BBTX08KHVCWQOZJ4T912HD1IFG,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A35BJZCQC3ETPX,2024-03-13T20:40:44.434Z,coach,Practice,3,Fork,Use as a hair accessory by bending the tines into a unique design,0
3634BBTX08KHVCWQOZJ4T912HD1IFG,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A35BJZCQC3ETPX,2024-03-13T20:40:44.434Z,coach,Test,4,Bottle,A mini aquarium for a single goldfish,0
3634BBTX08KHVCWQOZJ4T912HD1IFG,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A35BJZCQC3ETPX,2024-03-13T20:40:44.434Z,coach,Test,4,Bottle,A plant watering tool by adding a small nozzle to the cap,1
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,1,Toothbrush,grout cleaner,0
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,1,Toothbrush,keyboard cleaner,1
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,1,Toothbrush,vegetable cleaner,2
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,2,Backpack,portable mini garden,0
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,2,Backpack,mobile liabrary,1
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,2,Backpack,camera bag,2
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,3,Lightbulb,tiny terraium,0
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,3,Lightbulb,christmas ornament,1
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Practice,3,Lightbulb,jewelry ,2
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Test,4,Pants,jeans,0
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Test,4,Pants,pant,1
3VAR3R6G19RICJX6EGQ33EG26IN8OK,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,A1M1UFZJSPPN6Q,2024-03-13T20:41:16.238Z,generate,Test,4,Pants,shirt,2
3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,AOUCGFFGELTA7,2024-03-13T20:41:34.173Z,generate,Practice,1,Toothbrush,To clean our teeth daily,0
3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,AOUCGFFGELTA7,2024-03-13T20:41:34.173Z,generate,Practice,2,Shoe,,0
3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,AOUCGFFGELTA7,2024-03-13T20:41:34.173Z,generate,Practice,2,Shoe,,1
3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,AOUCGFFGELTA7,2024-03-13T20:41:34.173Z,generate,Practice,3,Bottle,Daily drink water ,0
3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,AOUCGFFGELTA7,2024-03-13T20:41:34.173Z,generate,Practice,3,Bottle,Bottles saves our society,1
